X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.82E-03
-6.08E-02,-8.30E-03
-6.26E-02,-1.30E-02
-6.28E-02,-1.80E-02
-6.28E-02,-2.29E-02
-6.30E-02,-2.82E-02
-6.30E-02,-3.35E-02
-6.28E-02,-3.88E-02
-6.28E-02,-4.43E-02
-6.28E-02,-5.00E-02
-6.28E-02,-5.57E-02
-6.28E-02,-6.17E-02
-6.29E-02,-6.79E-02
-6.28E-02,-7.41E-02
-6.28E-02,-8.07E-02
-6.30E-02,-8.76E-02
-6.29E-02,-9.48E-02
-6.29E-02,-1.02E-01
-6.28E-02,-1.10E-01
-6.29E-02,-1.19E-01
-6.29E-02,-1.28E-01
-6.28E-02,-1.32E-01
-6.28E-02,-1.37E-01
-6.28E-02,-1.42E-01
-6.28E-02,-1.47E-01
-6.29E-02,-1.53E-01
-6.29E-02,-1.58E-01
-6.28E-02,-1.64E-01
-6.28E-02,-1.70E-01
-6.28E-02,-1.77E-01
-6.28E-02,-1.84E-01
-6.28E-02,-1.91E-01
-6.28E-02,-1.99E-01
-6.28E-02,-2.07E-01
-6.29E-02,-2.12E-01
-6.29E-02,-2.17E-01
-6.29E-02,-2.22E-01
-6.24E-02,-2.29E-01
-5.88E-02,-2.34E-01
-5.34E-02,-2.36E-01
-4.84E-02,-2.35E-01
-4.37E-02,-2.33E-01
-3.99E-02,-2.31E-01
-3.63E-02,-2.30E-01
-3.32E-02,-2.29E-01
-3.03E-02,-2.28E-01
-2.76E-02,-2.27E-01
-2.50E-02,-2.26E-01
-2.28E-02,-2.26E-01
-2.04E-02,-2.25E-01
-1.82E-02,-2.25E-01
-1.60E-02,-2.24E-01
-1.40E-02,-2.24E-01
-1.21E-02,-2.24E-01
-1.08E-02,-2.24E-01
-9.45E-03,-2.24E-01
-7.73E-03,-2.23E-01
-6.12E-03,-2.23E-01
-3.04E-03,-2.23E-01
-1.86E-18,-2.23E-01
,
,
[Name],
Chart Line 2,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.76E-03
-6.20E-02,-1.05E-02
-6.28E-02,-1.80E-02
-6.29E-02,-2.54E-02
-6.29E-02,-3.28E-02
-6.29E-02,-4.12E-02
-6.30E-02,-4.97E-02
-6.29E-02,-5.84E-02
-6.30E-02,-6.73E-02
-6.29E-02,-7.60E-02
-6.30E-02,-8.49E-02
-6.28E-02,-9.41E-02
-6.29E-02,-1.04E-01
-6.28E-02,-1.13E-01
-6.28E-02,-1.22E-01
-6.28E-02,-1.33E-01
-6.30E-02,-1.44E-01
-6.28E-02,-1.54E-01
-6.28E-02,-1.65E-01
-6.28E-02,-1.76E-01
-6.28E-02,-1.86E-01
-6.28E-02,-1.91E-01
-6.28E-02,-1.96E-01
-6.28E-02,-2.02E-01
-6.27E-02,-2.08E-01
-6.28E-02,-2.14E-01
-6.28E-02,-2.22E-01
-6.14E-02,-2.31E-01
-5.68E-02,-2.35E-01
-5.22E-02,-2.36E-01
-5.02E-02,-2.36E-01
-4.84E-02,-2.35E-01
-4.68E-02,-2.35E-01
-4.52E-02,-2.34E-01
-4.36E-02,-2.33E-01
-4.20E-02,-2.32E-01
-4.05E-02,-2.32E-01
-3.90E-02,-2.31E-01
-3.75E-02,-2.30E-01
-3.61E-02,-2.30E-01
-3.47E-02,-2.29E-01
-3.32E-02,-2.29E-01
-3.18E-02,-2.28E-01
-3.05E-02,-2.28E-01
-2.91E-02,-2.27E-01
-2.77E-02,-2.27E-01
-2.64E-02,-2.27E-01
-2.50E-02,-2.26E-01
-2.37E-02,-2.26E-01
-2.24E-02,-2.26E-01
-2.10E-02,-2.25E-01
-1.97E-02,-2.25E-01
-1.83E-02,-2.25E-01
-1.70E-02,-2.25E-01
-1.43E-02,-2.24E-01
-1.30E-02,-2.24E-01
-1.17E-02,-2.24E-01
-1.05E-02,-2.24E-01
-9.40E-03,-2.24E-01
-8.55E-03,-2.23E-01
-7.72E-03,-2.23E-01
-6.14E-03,-2.23E-01
-3.06E-03,-2.23E-01
-1.86E-18,-2.23E-01
,
,
[Name],
Chart Line 3,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.77E-03
-6.06E-02,-7.95E-03
-6.24E-02,-1.22E-02
-6.28E-02,-1.69E-02
-6.29E-02,-2.15E-02
-6.30E-02,-3.07E-02
-6.30E-02,-4.01E-02
-6.29E-02,-5.06E-02
-6.30E-02,-6.09E-02
-6.29E-02,-7.11E-02
-6.29E-02,-8.13E-02
-6.30E-02,-9.10E-02
-6.28E-02,-1.01E-01
-6.29E-02,-1.11E-01
-6.28E-02,-1.21E-01
-6.28E-02,-1.31E-01
-6.29E-02,-1.40E-01
-6.30E-02,-1.51E-01
-6.29E-02,-1.63E-01
-6.28E-02,-1.72E-01
-6.29E-02,-1.82E-01
-6.28E-02,-1.92E-01
-6.28E-02,-1.99E-01
-6.28E-02,-2.03E-01
-6.28E-02,-2.06E-01
-6.28E-02,-2.09E-01
-6.28E-02,-2.12E-01
-6.27E-02,-2.16E-01
-6.28E-02,-2.20E-01
-6.28E-02,-2.24E-01
-6.25E-02,-2.28E-01
-6.09E-02,-2.32E-01
-5.95E-02,-2.33E-01
-5.77E-02,-2.35E-01
-5.57E-02,-2.35E-01
-5.35E-02,-2.36E-01
-5.13E-02,-2.36E-01
-4.89E-02,-2.36E-01
-4.67E-02,-2.34E-01
-4.45E-02,-2.33E-01
-4.25E-02,-2.32E-01
-4.05E-02,-2.32E-01
-3.86E-02,-2.31E-01
-3.67E-02,-2.30E-01
-3.50E-02,-2.29E-01
-3.32E-02,-2.29E-01
-3.15E-02,-2.28E-01
-2.99E-02,-2.28E-01
-2.83E-02,-2.27E-01
-2.67E-02,-2.27E-01
-2.51E-02,-2.26E-01
-2.36E-02,-2.26E-01
-2.20E-02,-2.25E-01
-2.05E-02,-2.25E-01
-1.90E-02,-2.25E-01
-1.74E-02,-2.25E-01
-1.59E-02,-2.24E-01
-1.45E-02,-2.24E-01
-1.31E-02,-2.24E-01
-1.17E-02,-2.24E-01
-1.05E-02,-2.24E-01
-9.40E-03,-2.24E-01
-8.54E-03,-2.23E-01
-7.72E-03,-2.23E-01
-6.13E-03,-2.23E-01
-3.06E-03,-2.23E-01
-1.86E-18,-2.23E-01
,
,
[Name],
Chart Line 4,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.75E-03
-6.24E-02,-1.19E-02
-6.28E-02,-1.65E-02
-6.28E-02,-2.10E-02
-6.29E-02,-3.00E-02
-6.29E-02,-3.92E-02
-6.30E-02,-4.99E-02
-6.30E-02,-6.12E-02
-6.30E-02,-7.33E-02
-6.28E-02,-8.51E-02
-6.28E-02,-9.57E-02
-6.30E-02,-1.06E-01
-6.28E-02,-1.18E-01
-6.30E-02,-1.29E-01
-6.29E-02,-1.38E-01
-6.28E-02,-1.47E-01
-6.29E-02,-1.58E-01
-6.29E-02,-1.68E-01
-6.28E-02,-1.77E-01
-6.28E-02,-1.86E-01
-6.28E-02,-1.94E-01
-6.28E-02,-2.01E-01
-6.28E-02,-2.05E-01
-6.28E-02,-2.08E-01
-6.28E-02,-2.11E-01
-6.28E-02,-2.15E-01
-6.28E-02,-2.19E-01
-6.28E-02,-2.23E-01
-6.26E-02,-2.27E-01
-6.13E-02,-2.31E-01
-5.86E-02,-2.34E-01
-5.67E-02,-2.35E-01
-5.48E-02,-2.36E-01
-5.27E-02,-2.36E-01
-5.06E-02,-2.36E-01
-4.84E-02,-2.35E-01
-4.64E-02,-2.34E-01
-4.44E-02,-2.33E-01
-4.25E-02,-2.32E-01
-4.06E-02,-2.32E-01
-3.88E-02,-2.31E-01
-3.71E-02,-2.30E-01
-3.54E-02,-2.29E-01
-3.38E-02,-2.29E-01
-3.22E-02,-2.28E-01
-3.06E-02,-2.28E-01
-2.91E-02,-2.27E-01
-2.75E-02,-2.27E-01
-2.61E-02,-2.26E-01
-2.46E-02,-2.26E-01
-2.31E-02,-2.26E-01
-2.17E-02,-2.25E-01
-2.02E-02,-2.25E-01
-1.88E-02,-2.25E-01
-1.74E-02,-2.25E-01
-1.59E-02,-2.24E-01
-1.45E-02,-2.24E-01
-1.31E-02,-2.24E-01
-1.17E-02,-2.24E-01
-1.05E-02,-2.24E-01
-9.42E-03,-2.24E-01
-8.56E-03,-2.23E-01
-7.73E-03,-2.23E-01
-6.14E-03,-2.23E-01
-3.07E-03,-2.23E-01
-1.86E-18,-2.23E-01
,
,
[Name],
Chart Line 5,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.75E-03
-6.24E-02,-1.20E-02
-6.28E-02,-1.66E-02
-6.30E-02,-2.12E-02
-6.30E-02,-3.03E-02
-6.30E-02,-3.96E-02
-6.30E-02,-5.03E-02
-6.29E-02,-6.18E-02
-6.30E-02,-7.41E-02
-6.30E-02,-8.60E-02
-6.29E-02,-9.67E-02
-6.29E-02,-1.07E-01
-6.29E-02,-1.19E-01
-6.29E-02,-1.29E-01
-6.28E-02,-1.39E-01
-6.28E-02,-1.48E-01
-6.28E-02,-1.58E-01
-6.31E-02,-1.68E-01
-6.29E-02,-1.77E-01
-6.28E-02,-1.85E-01
-6.28E-02,-1.94E-01
-6.28E-02,-2.01E-01
-6.28E-02,-2.04E-01
-6.28E-02,-2.07E-01
-6.28E-02,-2.11E-01
-6.27E-02,-2.14E-01
-6.28E-02,-2.18E-01
-6.28E-02,-2.22E-01
-6.28E-02,-2.26E-01
-6.16E-02,-2.30E-01
-5.90E-02,-2.34E-01
-5.73E-02,-2.35E-01
-5.54E-02,-2.36E-01
-5.33E-02,-2.36E-01
-5.11E-02,-2.36E-01
-4.89E-02,-2.36E-01
-4.69E-02,-2.35E-01
-4.48E-02,-2.34E-01
-4.29E-02,-2.33E-01
-4.10E-02,-2.32E-01
-3.92E-02,-2.31E-01
-3.74E-02,-2.30E-01
-3.57E-02,-2.30E-01
-3.40E-02,-2.29E-01
-3.24E-02,-2.28E-01
-3.08E-02,-2.28E-01
-2.93E-02,-2.27E-01
-2.77E-02,-2.27E-01
-2.62E-02,-2.27E-01
-2.47E-02,-2.26E-01
-2.33E-02,-2.26E-01
-2.18E-02,-2.25E-01
-2.03E-02,-2.25E-01
-1.89E-02,-2.25E-01
-1.74E-02,-2.25E-01
-1.59E-02,-2.24E-01
-1.45E-02,-2.24E-01
-1.31E-02,-2.24E-01
-1.17E-02,-2.24E-01
-1.06E-02,-2.24E-01
-9.42E-03,-2.24E-01
-8.56E-03,-2.23E-01
-7.73E-03,-2.23E-01
-6.14E-03,-2.23E-01
-3.07E-03,-2.23E-01
-1.86E-18,-2.23E-01
